Date;Price
11.07.2008;2015.5
18.07.2008;1802
25.07.2008;1833
01.08.2008;1833.5
08.08.2008;1672.75
15.08.2008;1671.5
22.08.2008;1811.25
29.08.2008;1792.5
05.09.2008;1728
12.09.2008;1866.75
19.09.2008;1751.5
26.09.2008;1742.75
03.10.2008;1581
10.10.2008;1418
17.10.2008;1184.5
24.10.2008;1135
31.10.2008;1095.5
07.11.2008;1064
14.11.2008;1189
21.11.2008;1182.5
28.11.2008;1210.75
05.12.2008;1062.25
12.12.2008;1046.75
19.12.2008;1138.5
26.12.2008;1126.5
02.01.2009;1251.75
09.01.2009;1270.75
16.01.2009;1227
23.01.2009;1149.5
30.01.2009;1075
06.02.2009;1161.25
13.02.2009;1128.15
20.02.2009;1077.5
27.02.2009;1103
06.03.2009;1205
13.03.2009;1197.85
20.03.2009;1232
27.03.2009;1318.75
03.04.2009;1342.25
10.04.2009;1366.25
17.04.2009;1530
24.04.2009;1394.25
01.05.2009;1492
08.05.2009;1529.25
15.05.2009;1467.15
22.05.2009;1492.5
29.05.2009;1541.75
05.06.2009;1540
12.06.2009;1661.25
19.06.2009;1548
26.06.2009;1556.5
03.07.2009;1524
10.07.2009;1469.25
17.07.2009;1597.25
24.07.2009;1668.5
31.07.2009;1726
07.08.2009;1872.25
14.08.2009;1798.75
21.08.2009;1806.5
28.08.2009;1855.5
04.09.2009;1902.75
11.09.2009;1840.75
18.09.2009;1886.5
25.09.2009;1853
02.10.2009;1853.25
09.10.2009;2012.5
16.10.2009;2026.15
23.10.2009;2247.5
30.10.2009;2133.63
06.11.2009;2147.75
13.11.2009;2147.5
20.11.2009;2225.75
27.11.2009;2200.25
04.12.2009;2337.25
11.12.2009;2263.75
18.12.2009;2369.25
25.12.2009;2459.75
01.01.2010;2529
08.01.2010;2489.75
15.01.2010;2441.75
22.01.2010;2329.75
29.01.2010;2095
05.02.2010;1924.25
12.02.2010;2168.5
19.02.2010;2341.75
26.02.2010;2172
05.03.2010;2323
12.03.2010;2307.35
19.03.2010;2264.25
26.03.2010;2197.25
02.04.2010;2372.75
09.04.2010;2380.5
16.04.2010;2390.25
23.04.2010;2371
30.04.2010;2253.25
07.05.2010;2062
14.05.2010;2024.75
21.05.2010;1864.75
28.05.2010;1904.5
04.06.2010;1610
11.06.2010;1709.25
18.06.2010;1697
25.06.2010;1841.5
02.07.2010;1748.75
09.07.2010;1875.25
16.07.2010;1770.5
23.07.2010;1879.15
30.07.2010;1999
06.08.2010;2100.25
13.08.2010;2018.25
20.08.2010;2029.5
27.08.2010;2065
03.09.2010;2121.75
10.09.2010;2082.75
17.09.2010;2124.5
24.09.2010;2218
01.10.2010;2200.5
08.10.2010;2261.75
15.10.2010;2394.85
22.10.2010;2484.5
29.10.2010;2396
05.11.2010;2503
12.11.2010;2372
19.11.2010;2142.25
26.11.2010;2094.5
03.12.2010;2208
10.12.2010;2273.5
17.12.2010;2265
24.12.2010;2296.25
31.12.2010;2444
07.01.2011;2436
14.01.2011;2444.75
21.01.2011;2301.5
28.01.2011;2337.5
04.02.2011;2485.75
11.02.2011;2444.75
18.02.2011;2527
25.02.2011;2463.75
04.03.2011;2436
11.03.2011;2252.5
18.03.2011;2304.25
25.03.2011;2359.25
01.04.2011;2380.75
08.04.2011;2512.75
15.04.2011;2380
22.04.2011;2343
29.04.2011;2234
06.05.2011;2121.5
13.05.2011;2134.5
20.05.2011;2130.75
27.05.2011;2255.75
03.06.2011;2239.75
10.06.2011;2235.5
17.06.2011;2165.5
24.06.2011;2229.75
01.07.2011;2342
08.07.2011;2329.75
15.07.2011;2349.35
22.07.2011;2467
29.07.2011;2465.75
05.08.2011;2173.5
12.08.2011;2148.5
19.08.2011;2165.75
26.08.2011;2220.75
02.09.2011;2170
09.09.2011;2167.25
16.09.2011;2137.6
23.09.2011;1888
30.09.2011;1837.75
07.10.2011;1899.75
14.10.2011;1912.5
21.10.2011;1785.75
28.10.2011;1968.5
04.11.2011;1943.75
11.11.2011;1914.25
18.11.2011;1956.75
25.11.2011;1907.25
02.12.2011;2057.75
09.12.2011;1995.75
16.12.2011;1867.75
23.12.2011;1840.5
30.12.2011;1827.25
06.01.2012;1839.25
13.01.2012;1953.75
20.01.2012;1993.5
27.01.2012;2132.75
03.02.2012;2138.75
10.02.2012;2065.25
17.02.2012;1924.75
24.02.2012;2068.25
02.03.2012;2097.25
09.03.2012;2054.25
16.03.2012;2069.6
23.03.2012;1995.25
30.03.2012;1995
06.04.2012;2000
13.04.2012;1986.75
20.04.2012;2014
27.04.2012;2034
04.05.2012;1992.25
11.05.2012;1950.25
18.05.2012;1893.5
25.05.2012;1902.75
01.06.2012;1885
08.06.2012;1863.25
15.06.2012;1913.75
22.06.2012;1795.5
29.06.2012;1880.5
06.07.2012;1841
13.07.2012;1872.25
20.07.2012;1832.75
27.07.2012;1851
03.08.2012;1829
10.08.2012;1819
17.08.2012;1773.25
24.08.2012;1858.75
31.08.2012;1815.75
07.09.2012;1946
14.09.2012;2085.75
21.09.2012;2086.5
28.09.2012;2064.25
05.10.2012;2042.75
12.10.2012;1897.1
19.10.2012;1846.25
26.10.2012;1794.75
02.11.2012;1836
09.11.2012;1862.5
16.11.2012;1892.25
23.11.2012;1941.5
30.11.2012;2029.25
07.12.2012;2004.75
14.12.2012;2064.55
21.12.2012;2051.5
28.12.2012;2022
04.01.2013;2008.75
11.01.2013;1991.25
18.01.2013;2016.75
25.01.2013;2066.25
01.02.2013;2155.75
08.02.2013;2181.75
15.02.2013;2146.5
22.02.2013;2069.75
01.03.2013;1997.5
08.03.2013;1955
15.03.2013;1919
22.03.2013;1922.5
29.03.2013;1864.5
05.04.2013;1851.25
12.04.2013;1839.6
19.04.2013;1851
26.04.2013;1861.75
03.05.2013;1853
10.05.2013;1827.5
17.05.2013;1809.5
24.05.2013;1821.5
31.05.2013;1893.75
07.06.2013;1869
14.06.2013;1823.25
21.06.2013;1807.25
28.06.2013;1821
05.07.2013;1808.5
12.07.2013;1868.75
19.07.2013;1829.25
26.07.2013;1820.25
02.08.2013;1828
09.08.2013;1907
16.08.2013;1969.25
23.08.2013;1949.75
30.08.2013;1868.5
06.09.2013;1855.25
13.09.2013;1831.25
20.09.2013;1834
27.09.2013;1871
04.10.2013;1835
11.10.2013;1879.75
18.10.2013;1898
25.10.2013;1920.5
01.11.2013;1906.25
08.11.2013;1872.75
15.11.2013;1869
22.11.2013;1882
29.11.2013;1866
06.12.2013;1888.75
13.12.2013;1975.75
20.12.2013;2037.5
27.12.2013;2100.5
03.01.2014;2035.5
10.01.2014;2026.25
17.01.2014;2079
24.01.2014;2006
31.01.2014;1964
07.02.2014;2030
14.02.2014;2043.75
21.02.2014;2046
28.02.2014;2111
07.03.2014;2083
14.03.2014;1978.25
21.03.2014;1943.75
28.03.2014;1963
04.04.2014;1998.75
11.04.2014;2016
18.04.2014;2049
25.04.2014;2052
02.05.2014;2041.5
09.05.2014;2028.25
16.05.2014;2059.75
23.05.2014;2078
30.05.2014;2055.5
06.06.2014;2103.25
13.06.2014;2075
20.06.2014;2166.75
27.06.2014;2186.5
04.07.2014;2231.25
11.07.2014;2300.75
18.07.2014;2288.5
25.07.2014;2392.5
01.08.2014;2343
08.08.2014;2289.5
15.08.2014;2264.25
22.08.2014;2347.5
29.08.2014;2359.25
05.09.2014;2383.75
12.09.2014;2269
19.09.2014;2264.5
26.09.2014;2258.25
03.10.2014;2258.25
10.10.2014;2308.5
17.10.2014;2247.5
24.10.2014;2258.5
31.10.2014;2315.5
07.11.2014;2240.75
14.11.2014;2252.25
21.11.2014;2292
28.11.2014;2212.75
05.12.2014;2229.25
12.12.2014;2178.5
19.12.2014;2172.25
26.12.2014;2148.5
02.01.2015;2194.75
09.01.2015;2145.5
16.01.2015;2091.75
23.01.2015;2085.25
30.01.2015;2119.75
06.02.2015;2152.5
13.02.2015;2140.75
20.02.2015;2031
27.02.2015;2048.25
06.03.2015;2000.5
13.03.2015;2000.5
20.03.2015;2053.75
27.03.2015;2072.25
03.04.2015;2121.25
10.04.2015;2202.5
17.04.2015;2206.25
24.04.2015;2244.5
01.05.2015;2364
08.05.2015;2361.75
15.05.2015;2289.5
22.05.2015;2168.5
29.05.2015;2182
05.06.2015;2117.75
12.06.2015;2112.5
19.06.2015;2031.25
26.06.2015;2025
03.07.2015;2011.75
10.07.2015;2004.25
17.07.2015;2056.25
24.07.2015;1945.75
31.07.2015;1912.5
07.08.2015;1851.75
14.08.2015;1827.75
21.08.2015;1762
28.08.2015;1807.25
